                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70332,                 1.4197,                 3.2974,                 1.0352,                0.15496,                0.21041,                0.13282,                0.11042,                0.07848,                0.28091,                0.13728,                0.11241,                0.69986,                 1.5239,                 3.2146,                0.98058,                  8e-05,                  8e-05,                  8e-05
                      2,                0.71974,                 1.4086,                 2.8564,                 1.0629,                0.47328,                0.62527,                 0.4414,                0.35735,                0.47898,                0.62581,                0.44697,                0.30074,                0.65829,                 2.0461,                    inf,                0.96961,             0.00017964,             0.00017964,             0.00017964
                      3,                0.62269,                 1.0385,                 1.2633,                0.97477,                0.58167,                0.72614,                0.46616,                0.34539,                0.57341,                0.71584,                0.45405,                0.28457,                0.69691,                 2.4024,                    inf,                0.95021,             0.00027889,             0.00027889,             0.00027889
                      4,                0.57188,                0.85327,                0.78826,                 0.9107,                0.37779,                0.68818,                 0.3131,                0.23365,                0.37749,                0.68764,                 0.3099,                 0.2053,                0.75903,                 2.3045,                    inf,                0.95425,             0.00037774,             0.00037774,             0.00037774
                      5,                0.55148,                0.71936,                0.69143,                0.90679,                0.40133,                0.68818,                0.33247,                0.24815,                0.40101,                0.68764,                0.32982,                0.21706,                0.72979,                 2.8033,                    inf,                0.99731,              0.0004762,              0.0004762,              0.0004762
                      6,                0.51524,                0.73931,                 0.6003,                0.91198,                 0.7117,                0.51139,                0.50562,                0.38027,                0.69434,                0.49892,                0.47673,                0.31365,                0.81741,                 3.1208,                    inf,                0.99766,             0.00057426,             0.00057426,             0.00057426
                      7,                 0.5078,                0.71834,                 0.6821,                0.92357,                0.14694,                0.21746,                0.08462,                0.06421,                0.13668,                0.20228,                0.07714,                0.05648,                 1.3681,                 21.565,                    inf,                 2.1986,             0.00067192,             0.00067192,             0.00067192
                      8,                0.55537,                0.81885,                 0.6398,                0.92862,                0.06821,                0.19902,                0.04263,                0.03536,                0.06399,                 0.1833,                0.03984,                0.02685,                 1.4136,                  68.74,                    inf,                 2.1094,             0.00076919,             0.00076919,             0.00076919
                      9,                0.51892,                0.75803,                0.64586,                0.90949,                0.00032,                0.00108,                0.00015,                0.00011,                0.00016,                0.00054,                  8e-05,                  8e-05,                 4.4608,                    nan,                    inf,                 100.63,             0.00086606,             0.00086606,             0.00086606
                     10,                0.48899,                0.76661,                 0.5842,                0.91126,                0.00061,                0.00217,                 0.0003,                 0.0002,                0.00061,                0.00217,                 0.0003,                0.00016,                 4.3597,                 1077.4,                    inf,                 63.793,             0.00096254,             0.00096254,             0.00096254
                     11,                  0.533,                0.86477,                0.55852,                0.90321,                 0.0003,                0.00108,                0.00015,                0.00012,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010586,              0.0010586,              0.0010586
                     12,                0.54052,                0.77207,                0.53122,                0.90361,                0.00061,                0.00217,                 0.0003,                  5e-05,                0.00015,                0.00054,                  8e-05,                  2e-05,                 5.2324,                    nan,                    inf,                 303.79,              0.0011543,              0.0011543,              0.0011543
                     13,                0.56961,                0.87263,                0.54529,                0.90604,                 0.0003,                0.00108,                0.00015,                  2e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0012496,              0.0012496,              0.0012496
                     14,                0.57442,                0.87641,                0.59667,                0.91166,                 0.0003,                0.00108,                0.00015,                  2e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0013445,              0.0013445,              0.0013445
                     15,                 0.5654,                0.86712,                0.59628,                0.92675,                0.02141,                0.06345,                0.01033,                0.00373,                0.00517,                0.01573,                0.00228,                0.00057,                 3.9426,                 5188.4,                    inf,                 43.252,               0.001439,               0.001439,               0.001439
                     16,                0.56372,                0.93711,                0.55892,                0.92976,                0.01947,                0.04664,                0.00891,                0.00258,                0.00467,                0.01193,                0.00201,                0.00055,                 4.0228,                 648.86,                    inf,                 85.883,              0.0015331,              0.0015331,              0.0015331
                     17,                0.58314,                0.89194,                0.59983,                0.92525,                0.03845,                0.07267,                0.02068,                0.01159,                0.02296,                0.04338,                0.01201,                0.00646,                 3.2237,                 639.91,                    inf,                 36.302,              0.0016268,              0.0016268,              0.0016268
                     18,                0.57717,                  0.817,                0.55496,                 0.9102,                0.01404,                0.04718,                0.00856,                0.00286,                0.00436,                0.01464,                0.00221,                0.00069,                  4.628,                 1104.8,                    inf,                 27.451,              0.0017201,              0.0017201,              0.0017201
                     19,                0.56425,                0.96959,                0.64086,                0.93336,                0.02545,                0.09111,                0.01432,                0.00623,                0.01288,                 0.0461,                0.00676,                0.00241,                  4.126,                 184.15,                    inf,                 7.6357,               0.001813,               0.001813,               0.001813
                     20,                0.58754,                 0.8788,                0.53456,                 0.9264,                0.08448,                0.18167,                0.05137,                0.03183,                0.06532,                  0.141,                0.03992,                0.02388,                 2.4607,                 8.0053,                 4.8871,                 2.4194,              0.0019055,              0.0019055,              0.0019055
                     21,                0.64643,                0.88092,                0.57581,                0.97126,                0.23387,                0.28742,                0.13989,                0.09368,                0.23283,                0.24078,                0.12468,                0.06728,                 1.6752,                 6.7105,                 2.6894,                 1.7937,              0.0019208,              0.0019208,              0.0019208
