                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8378,                  5.122,                 4.1615,                 1.5807,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5011,                  4.154,                 4.0165,                  1.292,                  2e-05,                  2e-05,                  2e-05
                      2,                 3.4596,                 5.0636,                 4.0563,                 1.4088,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5088,                 4.1942,                 4.0342,                 1.3022,             5.9881e-05,             5.9881e-05,             5.9881e-05
                      3,                 3.2314,                 4.8417,                 3.9625,                 1.3396,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5252,                 4.2184,                   4.05,                 1.3119,             9.9604e-05,             9.9604e-05,             9.9604e-05
                      4,                 2.5763,                 4.0764,                 3.8351,                 1.2773,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2624,                 4.1892,                 3.9857,                 1.2182,             0.00013917,             0.00013917,             0.00013917
                      5,                 2.9108,                 4.6469,                 3.8603,                 1.2447,                0.00067,                0.00299,                0.00034,                  7e-05,                0.00067,                0.00299,                0.00034,                 0.0001,                 2.0565,                 3.7428,                 3.8316,                 1.0643,             0.00017857,             0.00017857,             0.00017857
                      6,                 2.2419,                 3.0938,                 3.5035,                  1.069,                  0.004,                0.01796,                0.00207,                0.00093,                0.00933,                0.04192,                0.00511,                0.00264,                 2.0304,                 3.0581,                 3.7172,                0.97509,             0.00021782,             0.00021782,             0.00021782
                      7,                 2.4863,                  3.488,                 3.3918,                 1.0914,                0.02133,                0.09581,                 0.0132,                0.00615,                0.03467,                0.15569,                0.02308,                 0.0094,                 2.1968,                 3.2385,                 3.5804,                0.94133,             0.00025691,             0.00025691,             0.00025691
                      8,                 2.1053,                 2.8748,                 3.0065,                0.97541,                  0.034,                0.15269,                0.02188,                0.00897,                   0.06,                0.26946,                0.04272,                0.01884,                 2.3279,                 3.1155,                 3.4873,                0.95138,             0.00029584,             0.00029584,             0.00029584
                      9,                 2.1515,                 3.0541,                 2.6235,                0.98713,                0.04067,                0.18263,                0.02678,                0.00964,                0.06267,                0.28144,                0.04391,                0.01748,                 2.2724,                 3.1607,                 3.4188,                0.93457,             0.00033461,             0.00033461,             0.00033461
                     10,                 2.4054,                 3.4435,                  2.548,                 1.0031,                  0.038,                0.17066,                0.02491,                0.00823,                0.05733,                0.25749,                 0.0393,                0.01562,                 2.2317,                  3.244,                 3.3599,                0.92294,             0.00037323,             0.00037323,             0.00037323
                     11,                 2.1929,                 2.7422,                 2.2174,                0.95328,                0.03467,                0.15569,                0.02239,                0.00756,                0.05467,                0.24551,                  0.036,                0.01328,                 2.2322,                 3.4099,                 3.2669,                0.91492,             0.00041168,             0.00041168,             0.00041168
