                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.6216,                 2.0852,                 1.3852,                0.87171,                0.07382,                0.32335,                0.07013,                0.02592,                  0.078,                 0.3503,                0.07163,                0.02757,                    nan,                    nan,                    nan,                    nan,             0.00079731,             0.00079731,             0.00079731
                     25,                 1.7922,                 2.2612,                 1.4503,                 0.9001,                0.04067,                0.18263,                0.04188,                0.01472,                0.04067,                0.18263,                 0.0355,                 0.0138,                 3.0171,                 3641.5,                    inf,                 2.1419,             0.00082477,             0.00082477,             0.00082477
                     26,                 1.7727,                 2.1721,                 1.2801,                0.86452,                  0.046,                0.20659,                0.03296,                0.00947,                  0.034,                0.15269,                0.02171,                0.00758,                 3.1785,                  163.5,                    inf,                 1.2948,              0.0008517,              0.0008517,              0.0008517
                     27,                 1.7726,                 2.0563,                 1.2035,                0.86322,                  0.032,                0.14371,                0.01957,                0.00658,                  0.028,                0.12575,                0.01666,                0.00494,                 3.4942,                 102.51,                    inf,                 1.4631,              0.0008781,              0.0008781,              0.0008781
                     28,                 1.7509,                 2.0846,                 1.0972,                0.85492,                  0.032,                0.14371,                0.01957,                0.00658,                  0.028,                0.12575,                0.01666,                0.00494,                 3.4942,                 102.51,                    inf,                 1.4631,             0.00090398,             0.00090398,             0.00090398
                     29,                 1.7445,                 1.9273,                    1.2,                0.84354,                0.03336,                0.14371,                0.01901,                0.00593,                0.03129,                0.13772,                0.01757,                0.00577,                 3.7143,                 57.671,                    inf,                 1.7429,             0.00092933,             0.00092933,             0.00092933
                     30,                 1.9406,                 2.8029,                 1.5589,                 0.8562,                0.02067,                0.09281,                 0.0113,                0.00331,                0.02533,                0.11377,                0.01412,                0.00505,                 3.9925,                 32.234,                    inf,                 2.3907,             0.00095415,             0.00095415,             0.00095415
                     31,                 1.7141,                 1.8224,                 1.1712,                0.85864,                0.02067,                0.09281,                 0.0113,                0.00331,                0.02533,                0.11377,                0.01412,                0.00505,                 3.9925,                 32.234,                    inf,                 2.3907,             0.00097844,             0.00097844,             0.00097844
                     32,                 1.6375,                 1.9486,                 1.2194,                0.88395,                  0.018,                0.08084,                0.00973,                0.00275,                0.01733,                0.07784,                0.00934,                0.00305,                 4.2229,                 43.497,                    inf,                 1.8593,              0.0010022,              0.0010022,              0.0010022
                     33,                 1.6513,                 2.0301,                 1.0958,                 0.8336,                0.00467,                0.02096,                0.00238,                0.00088,                0.00333,                0.01497,                0.00172,                0.00078,                  3.619,                 21.431,                    inf,                 1.3431,              0.0010254,              0.0010254,              0.0010254
                     34,                 1.6107,                 1.8674,                 1.0068,                0.86867,                0.00467,                0.02096,                0.00238,                0.00088,                0.00333,                0.01497,                0.00172,                0.00078,                  3.619,                 21.431,                    inf,                 1.3431,              0.0010481,              0.0010481,              0.0010481
                     35,                 1.9422,                 2.4343,                 1.3348,                0.86027,                0.00067,                0.00299,                0.00035,                  3e-05,                0.00133,                0.00599,                0.00068,                0.00037,                 4.5062,                 122.21,                    inf,                 2.6867,              0.0010703,              0.0010703,              0.0010703
                     36,                 1.8044,                 2.1249,                  1.105,                0.86609,                0.00133,                0.00599,                0.00091,                0.00013,                  0.002,                0.00898,                0.00125,                0.00023,                 5.1966,                 76.926,                    inf,                 1.9893,               0.001092,               0.001092,               0.001092
                     37,                 1.6538,                 1.9703,                 1.0445,                0.85904,                0.00133,                0.00599,                0.00091,                0.00013,                  0.002,                0.00898,                0.00125,                0.00023,                 5.1966,                 76.926,                    inf,                 1.9893,              0.0011131,              0.0011131,              0.0011131
                     38,                 1.7468,                 1.9209,                 1.1008,                0.85985,                0.00067,                0.00299,                0.00089,                  9e-05,                0.00133,                0.00599,                0.00129,                0.00013,                    nan,                    nan,                    nan,                    nan,              0.0011337,              0.0011337,              0.0011337
                     39,                 1.7664,                 2.1478,                 1.2037,                0.84201,                0.00067,                0.00299,                0.00039,                  8e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0011538,              0.0011538,              0.0011538
                     40,                 1.5692,                  1.744,                0.91159,                0.85142,                0.00067,                0.00299,                0.00039,                  8e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0011733,              0.0011733,              0.0011733
                     41,                 1.7576,                 1.9034,                 1.0909,                0.88325,                0.00067,                0.00299,                0.00039,                  8e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0011923,              0.0011923,              0.0011923
                     42,                 1.7282,                 2.1467,                 1.2287,                0.87434,                0.00067,                0.00299,                0.00039,                  8e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0012108,              0.0012108,              0.0012108
                     43,                 1.6047,                 1.7256,                  1.143,                0.88104,                0.00067,                0.00299,                0.00039,                  8e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0012288,              0.0012288,              0.0012288
                     44,                 1.7274,                 1.9056,                 1.0115,                0.85636,                0.00067,                0.00299,                0.00039,                  8e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0012462,              0.0012462,              0.0012462
                     45,                 2.0117,                 2.6527,                  1.465,                0.86413,                0.00067,                0.00299,                0.00039,                  8e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0012631,              0.0012631,              0.0012631
                     46,                  1.862,                 2.4318,                 1.1445,                0.88209,                0.00067,                0.00299,                0.00039,                  8e-05,                      0,                      0,                      0,                      0,                 4.8335,                 16.553,                 5.2331,                 1.3949,              0.0012795,              0.0012795,              0.0012795
                     47,                 1.6409,                 1.9875,                 1.0491,                0.86192,                0.00067,                0.00299,                0.00039,                  8e-05,                      0,                      0,                      0,                      0,                 4.8335,                 16.553,                 5.2331,                 1.3949,              0.0012953,              0.0012953,              0.0012953
                     48,                 1.7899,                 2.1251,                 1.3074,                0.84759,                0.08245,                0.09281,                0.06647,                0.02921,                0.10372,                0.11677,                0.09021,                0.03296,                  3.137,                  10.87,                 3.9597,                  1.132,              0.0013106,              0.0013106,              0.0013106
                     49,                 1.8446,                 2.1845,                  1.151,                0.87631,                0.08245,                0.09281,                0.06647,                0.02921,                0.10372,                0.11677,                0.09021,                0.03296,                  3.137,                  10.87,                 3.9597,                  1.132,              0.0013254,              0.0013254,              0.0013254
                     50,                 1.9795,                 2.6031,                 1.2511,                0.86921,                0.23077,                0.15269,                0.13167,                 0.0492,                0.21203,                0.15569,                0.13652,                0.05091,                 2.8587,                  12.67,                 3.3198,                 1.1608,              0.0013397,              0.0013397,              0.0013397
                     51,                 1.7688,                 1.9888,                 1.1741,                0.86281,                0.23077,                0.15269,                0.13167,                 0.0492,                0.21203,                0.15569,                0.13652,                0.05091,                 2.8587,                  12.67,                 3.3198,                 1.1608,                0.00134,                0.00134,                0.00134
                     52,                 1.7078,                 2.0207,                 1.1946,                0.86135,                0.07197,                0.12701,                0.03098,                0.01166,                0.06128,                0.11078,                0.02649,                0.01108,                 3.0373,                 106.52,                 16.283,                 1.5133,                0.00134,                0.00134,                0.00134
                     53,                 1.7849,                  2.211,                 1.1576,                0.86605,                0.07197,                0.12701,                0.03098,                0.01166,                0.06128,                0.11078,                0.02649,                0.01108,                 3.0373,                 106.52,                 16.283,                 1.5133,              0.0013268,              0.0013268,              0.0013268
                     54,                 1.8631,                 2.1837,                 1.1985,                0.86818,                0.07197,                0.12701,                0.03098,                0.01166,                0.06128,                0.11078,                0.02649,                0.01108,                 3.2053,                 367.61,                    inf,                 3.1637,              0.0013136,              0.0013136,              0.0013136
                     55,                 1.7792,                 2.1904,                 1.1725,                0.84024,                0.07197,                0.12701,                0.03098,                0.01166,                0.06128,                0.11078,                0.02649,                0.01108,                 3.2053,                 367.61,                    inf,                 3.1637,              0.0013004,              0.0013004,              0.0013004
                     56,                 1.7025,                 2.0522,                 1.1056,                0.84898,                0.00067,                0.00299,                0.00033,                0.00017,                      0,                      0,                      0,                      0,                 3.8386,                   1447,                    inf,                 14.772,              0.0012872,              0.0012872,              0.0012872
                     57,                 1.6263,                 2.1643,                 1.1989,                0.88677,                0.00067,                0.00299,                0.00033,                0.00017,                      0,                      0,                      0,                      0,                 3.8386,                   1447,                    inf,                 14.772,               0.001274,               0.001274,               0.001274
                     58,                  1.548,                 1.6965,                  1.051,                0.85346,                0.00067,                0.00299,                0.00033,                0.00017,                      0,                      0,                      0,                      0,                 4.7437,                 2640.1,                    inf,                 14.978,              0.0012608,              0.0012608,              0.0012608
                     59,                 1.7334,                 1.8868,                 1.1368,                0.84046,                0.00067,                0.00299,                0.00033,                0.00017,                      0,                      0,                      0,                      0,                 4.7437,                 2640.1,                    inf,                 14.978,              0.0012476,              0.0012476,              0.0012476
                     60,                 1.7943,                  2.309,                 1.2233,                 0.8343,                0.00067,                0.00299,                0.00034,                0.00013,                      0,                      0,                      0,                      0,                 4.6979,                 851.31,                    inf,                 8.3971,              0.0012344,              0.0012344,              0.0012344
                     61,                 1.6268,                 1.8689,                 1.0296,                0.83979,                0.00067,                0.00299,                0.00034,                0.00013,                      0,                      0,                      0,                      0,                 4.6979,                 851.31,                    inf,                 8.3971,              0.0012212,              0.0012212,              0.0012212
                     62,                 1.6442,                  1.865,                 1.0772,                0.84405,                0.00067,                0.00299,                0.00034,                0.00013,                      0,                      0,                      0,                      0,                 2.9315,                 198.86,                    inf,                  3.527,               0.001208,               0.001208,               0.001208
                     63,                 1.5086,                 1.7303,                 1.1685,                0.86247,                0.00067,                0.00299,                0.00034,                0.00013,                      0,                      0,                      0,                      0,                 2.9315,                 198.86,                    inf,                  3.527,              0.0011948,              0.0011948,              0.0011948
                     64,                 1.6459,                 1.7989,                0.98048,                0.84213,                0.06741,                0.26347,                0.04113,                0.01749,                0.07188,                0.28743,                 0.0457,                0.01837,                 2.3813,                 604.18,                    inf,                 5.4705,              0.0011816,              0.0011816,              0.0011816
                     65,                 1.5998,                 1.6975,                0.99915,                0.85297,                0.06741,                0.26347,                0.04113,                0.01749,                0.07188,                0.28743,                 0.0457,                0.01837,                 2.3813,                 604.18,                    inf,                 5.4705,              0.0011684,              0.0011684,              0.0011684
