                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8378,                  5.122,                 4.1615,                 1.5807,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5011,                  4.154,                 4.0165,                  1.292,                  2e-05,                  2e-05,                  2e-05
                      2,                 3.4596,                 5.0636,                 4.0563,                 1.4088,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5088,                 4.1942,                 4.0342,                 1.3022,             5.9604e-05,             5.9604e-05,             5.9604e-05
                      3,                 3.2314,                 4.8417,                 3.9625,                 1.3396,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5252,                 4.2184,                   4.05,                 1.3119,              9.868e-05,              9.868e-05,              9.868e-05
                      4,                 2.5763,                 4.0764,                 3.8351,                 1.2773,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2685,                 4.1956,                 3.9848,                 1.2213,             0.00013723,             0.00013723,             0.00013723
                      5,                 2.9217,                 4.6544,                 3.8615,                 1.2484,                0.00067,                0.00299,                0.00034,                  3e-05,                0.00067,                0.00299,                0.00034,                 0.0001,                 2.0691,                 3.7592,                  3.836,                 1.0677,             0.00017525,             0.00017525,             0.00017525
                      6,                 2.2444,                 3.1062,                 3.5086,                 1.0712,                  0.004,                0.01796,                0.00206,                0.00089,                0.00867,                0.03892,                0.00461,                0.00208,                 2.0278,                 3.0796,                  3.722,                0.97961,             0.00021274,             0.00021274,             0.00021274
                      7,                  2.472,                  3.505,                 3.3992,                 1.0846,                0.02267,                 0.1018,                0.01393,                0.00602,                0.03267,                0.14671,                0.02087,                0.00827,                 2.2157,                 3.1801,                 3.5811,                0.94298,              0.0002497,              0.0002497,              0.0002497
                      8,                 2.1213,                 2.8974,                 3.0348,                0.98134,                   0.03,                0.13473,                0.01873,                0.00825,                0.05933,                0.26647,                0.04178,                0.01779,                 2.3179,                 3.1502,                 3.4968,                0.94724,             0.00028614,             0.00028614,             0.00028614
                      9,                 2.1478,                 3.0595,                 2.6547,                0.98523,                  0.038,                0.17066,                0.02429,                0.00941,                0.06667,                 0.2994,                0.04775,                0.01934,                 2.2855,                 3.1556,                 3.4286,                0.93834,             0.00032205,             0.00032205,             0.00032205
                     10,                 2.4005,                 3.3947,                 2.5743,                 1.0029,                  0.036,                0.16168,                0.02296,                0.00826,                  0.062,                0.27844,                0.04336,                0.01864,                 2.2308,                 3.2556,                 3.3647,                0.92358,             0.00035743,             0.00035743,             0.00035743
                     11,                 2.1807,                 2.7648,                 2.2685,                0.95372,                  0.044,                 0.1976,                0.02904,                0.00949,                0.06067,                0.27246,                0.04099,                0.01416,                 2.2018,                 3.3821,                 3.2752,                0.91772,             0.00039228,             0.00039228,             0.00039228
                     12,                 2.3009,                 3.0618,                 2.1481,                0.96865,                  0.042,                0.18862,                0.03212,                0.01212,                  0.058,                0.26048,                0.04142,                0.01242,                 2.2536,                  3.156,                 3.1756,                0.91964,              0.0004266,              0.0004266,              0.0004266
                     13,                 2.3016,                 2.8689,                 2.0994,                0.94916,                  0.056,                 0.2515,                0.04295,                0.01641,                0.06067,                0.27246,                0.04626,                0.01378,                 2.2759,                 3.0475,                 3.0747,                0.92215,              0.0004604,              0.0004604,              0.0004604
                     14,                 2.2562,                 2.9084,                  1.964,                0.97163,                  0.064,                0.28743,                0.07406,                0.03626,                0.07533,                0.33832,                0.07051,                0.02548,                  2.145,                 3.0404,                 2.9384,                0.91483,             0.00049367,             0.00049367,             0.00049367
                     15,                 1.9091,                 2.3722,                 1.7489,                0.91882,                0.07267,                0.32635,                0.11864,                0.05872,                  0.084,                0.37725,                0.11097,                0.04067,                 2.1108,                 3.0646,                 2.8173,                 0.9237,             0.00052641,             0.00052641,             0.00052641
                     16,                  2.426,                 3.3002,                 2.1439,                0.95167,                0.07467,                0.33533,                 0.1311,                0.06022,                0.08267,                0.37126,                0.12228,                0.04424,                 2.0958,                 3.1181,                 2.6898,                0.92785,             0.00055862,             0.00055862,             0.00055862
                     17,                 2.1374,                 2.6159,                 1.8895,                0.93702,                0.07533,                0.33832,                0.12696,                0.06102,                0.08333,                0.37425,                 0.1105,                0.03929,                 2.0753,                 3.1103,                 2.6002,                 0.9203,              0.0005903,              0.0005903,              0.0005903
                     18,                  2.297,                 2.8765,                 1.8836,                0.92628,                0.08333,                0.37425,                0.17537,                0.08007,                0.07933,                0.35629,                 0.1276,                0.03963,                 2.1132,                 2.9979,                 2.5108,                0.91126,             0.00062146,             0.00062146,             0.00062146
                     19,                  2.133,                  2.512,                 1.7535,                0.92777,                0.08067,                0.36228,                0.21539,                0.09449,                  0.074,                0.33234,                0.15016,                0.04046,                 2.1522,                 3.0713,                 2.4396,                 0.9176,             0.00065209,             0.00065209,             0.00065209
                     20,                 2.1399,                 2.5979,                 1.6705,                0.91174,                0.48958,                0.23353,                0.24148,                0.09786,                0.10044,                0.27545,                 0.1808,                0.05377,                 2.1717,                 3.0122,                 2.3703,                0.92539,             0.00068219,             0.00068219,             0.00068219
                     21,                 2.3625,                 3.2188,                 1.8423,                0.95355,                0.60005,                0.18263,                0.23694,                0.09415,                0.39156,                0.18563,                0.18414,                0.06294,                 2.1495,                 2.9654,                 2.3258,                0.93448,             0.00071176,             0.00071176,             0.00071176
                     22,                   2.19,                 2.9215,                 1.7662,                0.92909,                0.82514,                0.16955,                0.26056,                0.11268,                0.45373,                0.17365,                0.20148,                0.07006,                 2.1105,                 3.1035,                 2.2855,                0.93883,              0.0007408,              0.0007408,              0.0007408
                     23,                 2.3615,                 3.3791,                 1.9026,                 0.9153,                0.68399,                 0.1497,                0.23587,                0.10786,                0.35556,                0.19162,                0.17502,                0.05803,                 2.0825,                  3.124,                 2.2882,                0.93854,             0.00076932,             0.00076932,             0.00076932
                     24,                 1.9422,                 2.3649,                 1.6291,                0.91637,                0.64266,                0.16154,                 0.2276,                0.10677,                0.35585,                0.20359,                0.16801,                0.05517,                 2.0365,                 3.1921,                 2.3553,                0.93096,             0.00079731,             0.00079731,             0.00079731
                     25,                    2.1,                 2.6822,                 1.8116,                 0.9426,                0.45882,                0.23353,                 0.1914,                0.08619,                  0.072,                0.32335,                0.11678,                0.03881,                 2.0335,                 3.4299,                 2.4536,                0.92508,             0.00082477,             0.00082477,             0.00082477
                     26,                 2.0319,                 2.5867,                 1.5598,                0.89724,                0.11219,                0.28144,                0.17575,                0.07099,                0.06267,                0.28144,                0.09428,                0.02846,                 2.1157,                 3.7602,                 2.5236,                0.92434,              0.0008517,              0.0008517,              0.0008517
                     27,                 2.1147,                 2.4449,                 1.5364,                0.89748,                 0.0926,                0.32934,                0.22756,                0.09748,                  0.062,                0.27844,                0.12121,                0.03679,                 2.1067,                 3.6246,                 2.5294,                0.92158,              0.0008781,              0.0008781,              0.0008781
                     28,                 2.0265,                 2.4678,                 1.5418,                 0.8936,                 0.0926,                0.32934,                0.22756,                0.09748,                  0.062,                0.27844,                0.12121,                0.03679,                 2.1067,                 3.6246,                 2.5294,                0.92158,             0.00090398,             0.00090398,             0.00090398
                     29,                 2.1145,                 2.5321,                 1.5505,                 0.8901,                0.07933,                0.35629,                0.23293,                0.10957,                0.07733,                0.34731,                0.17152,                0.05374,                 2.0942,                 3.3991,                 2.4638,                0.92654,             0.00092933,             0.00092933,             0.00092933
                     30,                 2.5908,                 3.7235,                 1.9091,                0.92518,                0.53325,                 0.2485,                0.26218,                0.11581,                0.46258,                0.21557,                0.22273,                0.07439,                 2.1432,                 3.3198,                 2.3326,                0.92901,             0.00095415,             0.00095415,             0.00095415
                     31,                 1.9518,                 2.2225,                 1.4726,                0.89101,                0.53325,                 0.2485,                0.26218,                0.11581,                0.46258,                0.21557,                0.22273,                0.07439,                 2.1432,                 3.3198,                 2.3326,                0.92901,             0.00097844,             0.00097844,             0.00097844
                     32,                  1.932,                 2.3223,                 1.5474,                0.95582,                0.78138,                0.13913,                0.28233,                0.12694,                0.57759,                0.17066,                0.22268,                0.07175,                 2.0855,                 3.3523,                 2.1976,                0.92775,              0.0010022,              0.0010022,              0.0010022
                     33,                 2.0144,                 2.6077,                 1.5332,                0.88179,                0.82665,                 0.1497,                0.28425,                0.12791,                0.55538,                0.12874,                0.21127,                0.07372,                 2.1338,                 3.0321,                 2.0872,                0.93169,              0.0010254,              0.0010254,              0.0010254
                     34,                 1.8531,                 2.1926,                  1.428,                0.90273,                0.82665,                 0.1497,                0.28425,                0.12791,                0.55538,                0.12874,                0.21127,                0.07372,                 2.1338,                 3.0321,                 2.0872,                0.93169,              0.0010481,              0.0010481,              0.0010481
                     35,                  2.306,                 3.0233,                 1.7892,                0.90016,                0.80947,                0.15264,                0.29586,                0.12764,                 0.4979,                0.14371,                0.21026,                0.06904,                 2.1467,                 2.9921,                 2.1041,                0.93046,              0.0010703,              0.0010703,              0.0010703
                     36,                 2.0777,                 2.7157,                 1.5717,                 0.8903,                0.72551,                0.15868,                 0.2863,                0.12129,                0.55091,                0.12575,                0.19928,                0.06449,                  2.117,                  3.029,                  2.107,                0.92811,               0.001092,               0.001092,               0.001092
                     37,                 2.0238,                  2.432,                 1.4955,                0.89443,                0.72551,                0.15868,                 0.2863,                0.12129,                0.55091,                0.12575,                0.19928,                0.06449,                  2.117,                  3.029,                  2.107,                0.92811,              0.0011131,              0.0011131,              0.0011131
                     38,                 2.0717,                 2.5357,                 1.4236,                0.89222,                0.53564,                0.15886,                0.22058,                0.09564,                0.42909,                0.12827,                 0.1674,                 0.0486,                  2.052,                 2.9018,                 2.3597,                0.91807,              0.0011337,              0.0011337,              0.0011337
                     39,                 2.1052,                 2.8816,                 1.6322,                0.87991,                0.57395,                0.20659,                0.24143,                 0.1082,                0.47402,                0.17269,                 0.2124,                0.06734,                 2.0215,                 2.8088,                 2.1187,                0.92068,              0.0011538,              0.0011538,              0.0011538
                     40,                 1.8825,                 2.1917,                 1.3597,                 0.8927,                0.57395,                0.20659,                0.24143,                 0.1082,                0.47402,                0.17269,                 0.2124,                0.06734,                 2.0215,                 2.8088,                 2.1187,                0.92068,              0.0011733,              0.0011733,              0.0011733
                     41,                 2.0574,                 2.1666,                 1.4315,                0.92091,                 0.6444,                0.21557,                0.27375,                0.12424,                0.58213,                 0.1976,                0.28011,                0.10188,                 2.1008,                 2.7905,                 1.8818,                0.92644,              0.0011923,              0.0011923,              0.0011923
                     42,                 1.8225,                  2.132,                 1.4158,                0.88685,                0.56414,                0.23952,                 0.2925,                0.12969,                0.48916,                0.23054,                0.29464,                0.09981,                 2.1279,                 2.8483,                 1.8004,                0.92959,              0.0012108,              0.0012108,              0.0012108
