                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9676,                 4.6986,                 4.2731,                 1.2925,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2652,                 4.0377,                 3.9291,                 1.1001,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.9042,                 4.4503,                 4.2233,                 1.1941,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2407,                 4.0873,                 3.9508,                 1.0992,             5.9868e-05,             5.9868e-05,             5.9868e-05
                      3,                 2.4598,                 4.0186,                 4.1148,                  1.112,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2298,                 4.0705,                 3.9593,                 1.1003,              9.956e-05,              9.956e-05,              9.956e-05
                      4,                 2.3495,                 3.7631,                 4.1454,                 1.2095,                0.33062,                0.13772,                0.10584,                0.05332,                0.26666,                0.15269,                0.11181,                0.04713,                 2.0969,                 3.2574,                 2.5159,                0.97182,             0.00013908,             0.00013908,             0.00013908
                      5,                 2.2882,                 3.7705,                 4.6681,                 1.0138,                0.06498,                0.15269,                0.03701,                0.01546,                0.05235,                0.21557,                0.04079,                0.01371,                 2.0827,                 3.2409,                 3.2669,                0.95586,             0.00017842,             0.00017842,             0.00017842
                      6,                 2.0135,                 2.6694,                 3.2415,                0.99937,                0.11474,                 0.3503,                0.08082,                0.03429,                0.08981,                 0.2994,                0.06173,                0.01703,                 1.9878,                 2.9617,                 5.3903,                0.90565,             0.00021758,             0.00021758,             0.00021758
                      7,                 1.9223,                  2.785,                 2.0051,                 0.9443,                0.06881,                0.29341,                0.04468,                0.01893,                0.09852,                0.42814,                0.07216,                0.03368,                 2.0373,                 3.3727,                    inf,                 0.9163,             0.00025657,             0.00025657,             0.00025657
                      8,                 1.8093,                 2.5097,                 1.9979,                0.91705,                0.06474,                0.25749,                0.04037,                0.01754,                0.07286,                0.29641,                0.04754,                0.02379,                 1.9846,                 46.168,                    nan,                 0.9088,             0.00029538,             0.00029538,             0.00029538
                      9,                 1.8942,                 2.5136,                 1.8972,                0.89921,                0.10987,                0.39521,                 0.0735,                 0.0323,                0.09919,                0.36527,                0.06721,                0.02369,                 1.8787,                 3.3575,                    nan,                0.89659,             0.00033402,             0.00033402,             0.00033402
                     10,                 2.0093,                 2.6608,                 1.5398,                0.90532,                0.15492,                0.49102,                0.11755,                0.04736,                 0.1245,                0.39521,                 0.0859,                0.02641,                 1.9444,                 3.0477,                    inf,                0.89142,             0.00037248,             0.00037248,             0.00037248
                     11,                 1.8281,                 2.1616,                 1.3371,                0.87718,                0.23657,                0.47224,                0.17331,                0.07107,                0.23332,                0.47904,                0.17361,                0.05566,                    nan,                  23.68,                    nan,                    nan,             0.00041076,             0.00041076,             0.00041076
                     12,                 1.7768,                 2.2494,                 1.4567,                0.87614,                    0.4,                0.31138,                0.26188,                0.09787,                0.46538,                0.36228,                0.36291,                0.11645,                 1.8275,                 4.0114,                 21.009,                0.88604,             0.00044887,             0.00044887,             0.00044887
                     13,                 1.8227,                  2.542,                 1.7951,                0.88715,                0.28357,                0.42515,                0.21995,                0.10106,                0.31378,                0.48204,                0.26268,                0.09712,                 1.7886,                 3.8051,                    nan,                0.88375,              0.0004868,              0.0004868,              0.0004868
                     14,                 1.8561,                 2.2904,                 1.5382,                0.90971,                0.45829,                 0.4521,                0.35883,                0.15611,                0.41964,                0.42515,                0.32861,                0.10519,                    nan,                    nan,                    nan,                    nan,             0.00052456,             0.00052456,             0.00052456
                     15,                 1.5862,                 2.1211,                  1.258,                0.88332,                0.20502,                0.46407,                0.15524,                0.06814,                0.20534,                0.37909,                0.13696,                0.04487,                    nan,                    nan,                    nan,                    nan,             0.00056214,             0.00056214,             0.00056214
                     16,                 1.9238,                 2.7451,                 1.4557,                0.87609,                0.45861,                 0.2994,                0.28476,                0.10378,                0.28192,                0.31138,                0.19806,                0.06413,                    nan,                    nan,                    nan,                    nan,             0.00059954,             0.00059954,             0.00059954
                     17,                 1.6643,                 2.0259,                 1.3907,                0.88041,                0.08383,                0.13473,                0.03369,                0.01302,                 0.0651,                0.12874,                0.03339,                0.01355,                    nan,                    nan,                    nan,                    nan,             0.00063677,             0.00063677,             0.00063677
                     18,                 1.7752,                 2.2869,                 1.5538,                 0.8664,                0.00067,                0.00299,                0.00083,                0.00058,                0.00133,                0.00599,                0.00116,                0.00028,                    nan,                    nan,                    nan,                    nan,             0.00067382,             0.00067382,             0.00067382
                     19,                 1.7248,                 1.9968,                 1.2112,                0.88229,                0.00067,                0.00299,                0.00083,                0.00058,                0.00133,                0.00599,                0.00116,                0.00028,                    nan,                    nan,                    nan,                    nan,              0.0007107,              0.0007107,              0.0007107
                     20,                 1.7682,                 2.3073,                 1.1869,                0.87136,                0.00067,                0.00299,                0.00083,                0.00058,                0.00133,                0.00599,                0.00116,                0.00028,                    nan,                    nan,                    nan,                    nan,              0.0007474,              0.0007474,              0.0007474
                     21,                  1.877,                 2.4044,                 1.3252,                 0.8955,                0.00067,                0.00299,                0.00035,                0.00011,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00078392,             0.00078392,             0.00078392
                     22,                 1.8071,                 2.2221,                   1.31,                0.88258,                0.00067,                0.00299,                0.00035,                0.00011,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00082027,             0.00082027,             0.00082027
                     23,                 1.9851,                 2.4297,                 1.4111,                0.85142,                0.00067,                0.00299,                0.00035,                  3e-05,                0.00067,                0.00299,                0.00035,                  3e-05,                    nan,                    nan,                    nan,                    nan,             0.00085644,             0.00085644,             0.00085644
                     24,                 1.6604,                 2.0657,                  1.443,                0.87857,                0.00067,                0.00299,                0.00033,                 0.0001,                0.00133,                0.00599,                0.00069,                0.00017,                    nan,                    nan,                    nan,                    nan,             0.00089244,             0.00089244,             0.00089244
                     25,                  1.779,                   2.46,                 1.4785,                0.89344,                0.00067,                0.00299,                0.00033,                  7e-05,                0.00133,                0.00599,                0.00069,                  7e-05,                    nan,                    nan,                    nan,                    nan,             0.00092826,             0.00092826,             0.00092826
                     26,                 1.7406,                 2.1905,                 1.2715,                0.86345,                0.00067,                0.00299,                0.00033,                 0.0001,                0.00067,                0.00299,                0.00034,                  7e-05,                    nan,                    nan,                    nan,                    nan,              0.0009639,              0.0009639,              0.0009639
                     27,                  1.784,                 2.1941,                  1.145,                0.87026,                0.00067,                0.00299,                0.00034,                0.00017,                0.00067,                0.00299,                0.00034,                  7e-05,                    nan,                    nan,                    nan,                    nan,             0.00099937,             0.00099937,             0.00099937
                     28,                 1.7316,                 2.0414,                 1.1685,                0.85696,                0.00067,                0.00299,                0.00034,                0.00017,                0.00067,                0.00299,                0.00034,                  7e-05,                    nan,                    nan,                    nan,                    nan,              0.0010347,              0.0010347,              0.0010347
                     29,                 1.7081,                 1.8098,                 1.1723,                0.84017,                0.00067,                0.00299,                0.00034,                0.00013,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010698,              0.0010698,              0.0010698
                     30,                 1.8867,                 2.9416,                 1.4675,                0.85872,                0.00067,                0.00299,                0.00034,                0.00013,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0011047,              0.0011047,              0.0011047
                     31,                 1.7151,                 1.9871,                 1.1872,                0.86122,                0.00067,                0.00299,                0.00034,                0.00013,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0011395,              0.0011395,              0.0011395
                     32,                 1.7555,                 2.1756,                 1.4155,                0.91115,                0.00067,                0.00299,                0.00034,                0.00013,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0011741,              0.0011741,              0.0011741
                     33,                 1.7441,                  2.081,                 1.1421,                0.84569,                0.00067,                0.00299,                0.00034,                0.00013,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0012085,              0.0012085,              0.0012085
                     34,                 1.4962,                 1.7777,                  1.017,                0.85565,                0.00067,                0.00299,                0.00034,                0.00013,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0012427,              0.0012427,              0.0012427
                     35,                 2.0133,                 2.6297,                 1.4051,                0.85563,                0.00067,                0.00299,                0.00034,                0.00013,                      0,                      0,                      0,                      0,                  4.178,                 1022.4,                    inf,                 2.1644,              0.0012768,              0.0012768,              0.0012768
                     36,                 1.9097,                 2.3619,                 1.2282,                 0.8721,                0.00326,                0.00599,                0.00164,                0.00025,                      0,                      0,                      0,                      0,                 4.7342,                    nan,                    nan,                 1.8146,              0.0013107,              0.0013107,              0.0013107
                     37,                 1.7216,                 1.9215,                 1.0836,                0.86277,                0.00326,                0.00599,                0.00164,                0.00025,                      0,                      0,                      0,                      0,                 4.7342,                    nan,                    nan,                 1.8146,              0.0013444,              0.0013444,              0.0013444
                     38,                 1.8154,                 1.9831,                 1.1128,                0.87028,                0.00067,                0.00299,                0.00034,                  3e-05,                0.00067,                0.00299,                0.00034,                  3e-05,                  4.787,                 3800.6,                    inf,                 5.7076,              0.0013779,              0.0013779,              0.0013779
                     39,                 1.8318,                 2.0432,                 1.3115,                0.85525,                0.00067,                0.00299,                0.00034,                  3e-05,                0.00067,                0.00299,                0.00034,                  3e-05,                 4.8108,                 292.03,                 925.37,                 5.8863,              0.0014113,              0.0014113,              0.0014113
