,image,Metric,yolo_rmse,dualsight_rmse,yolo_pred_mean,dual_pred_mean,yolo_gt_mean,dual_gt_mean,yolo_r2_mean,dual_r2_mean
0,Cu-Ni-Powder_250x_10_SE:,area,180.33579788827288,85.58621384311844,10018.636363636364,9979.545454545454,9931.454545454546,9931.454545454546,0.9991801327733283,0.9998153338631847
1,Cu-Ni-Powder_250x_10_SE:,area_convex,236.63012948865617,86.7483298241109,11465.636363636364,11553.818181818182,11589.818181818182,11589.818181818182,0.9990700574688242,0.9998750206470103
2,Cu-Ni-Powder_250x_10_SE:,major_axis_length,2.0308006844748254,1.0561479819487807,145.78391729914918,147.23987336766493,146.5018830501144,146.5018830501144,0.9980687417723083,0.9994776575859579
3,Cu-Ni-Powder_250x_10_SE:,minor_axis_length,0.9284620322735173,0.8015472295784526,90.53778756691507,90.44489483787346,90.0502935509451,90.0502935509451,0.999505994474274,0.9996318186854458
4,Cu-Ni-Powder_250x_10_SE:,eccentricity,0.016349058891954833,0.004881399494837968,0.7511995022840131,0.7557022908632901,0.7559956912819168,0.7559956912819168,0.9897583356065442,0.9990869937979232
5,Cu-Ni-Powder_250x_10_SE:,equivalent_diameter,1.0634363088586496,0.5416009749345426,107.10829656399454,107.0130954607422,106.71994585278013,106.71994585278013,0.9990995857047996,0.9997664508518406
8,Cu-Ni-Powder_250x_10_SE:,feret_diameter_max,2.632850089709834,1.0265386222445518,152.12824542409146,153.97459513324466,153.86121536602639,153.86121536602639,0.9969544704007339,0.9995370211532475
9,Cu-Ni-Powder_250x_10_SE:,perimeter,28.8310383610617,4.918325456959609,447.5795485436893,463.315879317472,459.2055880960542,459.2055880960542,0.9753418975008475,0.9992824145687689
10,Cu-Ni-Powder_250x_10_SE:,solidity,0.03308585617736558,0.0095955242390254,0.8962186019825084,0.883086802920404,0.8775694987150353,0.8775694987150353,0.7000463069185843,0.9747706029261988
11,Cu-Ni-Powder_250x_1_SE_V1:,area,4308.450682440135,4872.144008118916,4502.952830188679,5330.188679245283,5945.5,5950.38679245283,0.5117615807799194,0.37481940749384945
12,Cu-Ni-Powder_250x_1_SE_V1:,area_convex,6392.615721608091,8863.91428452443,5329.037735849057,7066.6509433962265,7456.103773584906,7461.905660377359,0.49098306778664635,0.020413882411371098
13,Cu-Ni-Powder_250x_1_SE_V1:,major_axis_length,51.24794780164913,50.10835221619466,97.99378573785447,106.43512556444385,116.52275463438762,116.64764098090326,0.4453389370893407,0.46737412040556225
14,Cu-Ni-Powder_250x_1_SE_V1:,minor_axis_length,22.939166482831165,23.670776269986042,54.14485725819956,59.72466044720759,62.32143388519502,62.38798155301189,0.5504656208368663,0.5194838946132692
15,Cu-Ni-Powder_250x_1_SE_V1:,eccentricity,0.1043234594970112,0.09698676999149762,0.7799729241436036,0.7807387900898158,0.7969591610732263,0.7977070159125014,0.43251765905603934,0.5058651707751205
16,Cu-Ni-Powder_250x_1_SE_V1:,equivalent_diameter,25.712995409735164,25.52546437942296,67.84802351093279,72.92736685365611,77.596693205797,77.69226615418648,0.5731155763401812,0.5769653404398536
19,Cu-Ni-Powder_250x_1_SE_V1:,feret_diameter_max,52.489034427103675,51.168530231668335,100.65544918043481,110.55296070223228,119.37299074108013,119.50761003141446,0.467702504365912,0.4921120426018556
20,Cu-Ni-Powder_250x_1_SE_V1:,perimeter,166.3965312964731,253.40411053813617,287.446382830179,353.21604400117934,344.91098736839103,345.3483594034263,0.44916108344870265,-0.2822798153420487
21,Cu-Ni-Powder_250x_1_SE_V1:,solidity,0.0862925657274057,0.0882076922244748,0.8929550208674756,0.8608768353869716,0.862845294194496,0.8622714787857607,0.13883645742874284,0.0920464242976563
22,Cu-Ni-Powder_250x_6_SE_V1:,area,4917.191165389978,5098.2121861122705,5112.817204301075,6111.634408602151,7361.645161290323,7368.397849462365,0.47798100157057066,0.4378649582662516
23,Cu-Ni-Powder_250x_6_SE_V1:,area_convex,7014.376609154499,7288.141919938256,6144.10752688172,7700.182795698925,9334.763440860215,9344.032258064517,0.4169170464694457,0.3694419748166059
24,Cu-Ni-Powder_250x_6_SE_V1:,major_axis_length,53.813939261894234,50.73601966234768,102.99534183028719,112.59712739773516,129.11859830090998,129.21853592949086,0.4676171251676584,0.5254473205690633
25,Cu-Ni-Powder_250x_6_SE_V1:,minor_axis_length,30.94867873907444,30.519072636018702,57.09328676226664,62.80809896243284,69.56161763378906,69.65865997847646,0.4858354035299759,0.498335641009357
26,Cu-Ni-Powder_250x_6_SE_V1:,eccentricity,0.11797042873468909,0.12512205914558788,0.7771890488243677,0.774305932658893,0.7815241158237297,0.7810257122841158,0.41848388828250327,0.34786212104095826
27,Cu-Ni-Powder_250x_6_SE_V1:,equivalent_diameter,29.119610132662487,28.5384919529297,71.3268426553922,77.66116226313932,85.52241083165319,85.6239242286121,0.5881840442135067,0.6027635877364457
30,Cu-Ni-Powder_250x_6_SE_V1:,feret_diameter_max,52.76338424786572,49.976725150017664,106.77805409781253,117.89738221626837,133.93931779165928,134.087683774218,0.5084016733402559,0.5572201099472178
31,Cu-Ni-Powder_250x_6_SE_V1:,perimeter,197.530462391131,218.75016405413135,312.46808275276214,374.2231200036245,398.269356149381,398.70022784628276,0.4003982761626447,0.2623394608824692
32,Cu-Ni-Powder_250x_6_SE_V1:,solidity,0.10363972600821234,0.09885242160103634,0.8904978662735955,0.8586803693361202,0.8460668359674735,0.8450420477385205,-0.1807913743888312,-0.08886256606465404
