                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79844,                 1.6603,                 2.0291,                 1.0162,                0.72952,                0.41811,                0.46395,                0.37437,                0.73538,                0.42462,                 0.4722,                0.36213,                0.72424,                 1.4657,                 1.8211,                0.92543,                  8e-05,                  8e-05,                  8e-05
                      2,                 0.7245,                 1.3421,                 1.4563,                 1.0166,                0.80167,                 0.6757,                0.68491,                0.54356,                0.80663,                0.67638,                0.69515,                0.48768,                0.73224,                 1.5088,                 1.5061,                0.94978,             0.00017964,             0.00017964,             0.00017964
                      3,                0.63386,                0.92404,                0.74754,                0.92633,                0.81803,                0.69577,                0.71343,                 0.5755,                0.83434,                0.69848,                 0.7255,                0.51772,                0.64066,                 1.5848,                 1.6946,                0.88623,             0.00027889,             0.00027889,             0.00027889
                      4,                0.55468,                0.83217,                0.62038,                 0.8911,                0.74645,                0.69089,                0.65942,                0.50858,                0.75091,                0.69089,                0.66652,                0.46733,                 0.7192,                 1.5671,                 1.9075,                0.91699,             0.00037774,             0.00037774,             0.00037774
                      5,                0.51435,                0.67073,                 0.5848,                0.87005,                0.78281,                0.68113,                0.70955,                0.55158,                0.79406,                0.68059,                0.71959,                0.49388,                0.69086,                 1.5282,                 1.2275,                0.88858,              0.0004762,              0.0004762,              0.0004762
                      6,                0.48294,                0.67321,                0.50852,                0.87428,                0.83029,                0.70553,                0.74141,                  0.591,                0.84739,                0.70065,                0.75131,                0.53388,                0.69526,                 1.7112,                  1.235,                0.91647,             0.00057426,             0.00057426,             0.00057426
                      7,                 0.5133,                0.65836,                 0.5367,                0.88855,                0.80118,                0.69197,                0.72703,                0.56882,                  0.802,                0.68221,                0.72149,                0.49559,                0.75994,                 2.0848,                 1.2855,                0.91961,             0.00067192,             0.00067192,             0.00067192
                      8,                0.53603,                0.74911,                0.57115,                0.88719,                0.74457,                0.68763,                 0.6978,                0.53937,                0.74295,                0.68275,                0.69627,                0.45987,                0.78866,                 1.9374,                 1.1196,                0.94152,             0.00076919,             0.00076919,             0.00076919
                      9,                0.51193,                0.68448,                0.52233,                0.87503,                0.69076,                0.70863,                0.61065,                 0.4617,                0.68165,                 0.6967,                0.60023,                0.38219,                0.78449,                 2.0927,                 1.5073,                0.93928,             0.00086606,             0.00086606,             0.00086606
                     10,                0.50555,                 0.6613,                0.49458,                0.88376,                0.62171,                0.63829,                0.52139,                0.40272,                0.61432,                0.62907,                0.50646,                0.34301,                0.80614,                  2.499,                 1.3248,                0.95133,             0.00096254,             0.00096254,             0.00096254
                     11,                0.52472,                0.71319,                0.48849,                0.86735,                0.73549,                  0.668,                0.66309,                0.48868,                 0.7687,                 0.6372,                0.65912,                0.45068,                0.86353,                 2.2101,                 1.1667,                0.95245,              0.0010586,              0.0010586,              0.0010586
                     12,                0.52968,                0.66346,                0.49476,                0.86936,                0.77494,                0.69848,                0.66985,                0.49709,                0.77013,                0.69414,                0.66444,                0.43861,                0.80891,                 2.3016,                0.99398,                0.95221,              0.0011543,              0.0011543,              0.0011543
                     13,                0.55656,                0.68267,                0.49611,                0.87151,                0.69519,                 0.6936,                0.60164,                 0.4439,                0.69732,                 0.6909,                0.59784,                0.40671,                0.83577,                 2.2891,                 1.2474,                0.95778,              0.0012496,              0.0012496,              0.0012496
                     14,                0.53281,                0.66917,                0.48539,                0.87128,                0.65848,                0.68764,                0.58057,                0.44913,                 0.6564,                0.68547,                0.58271,                0.41281,                 0.7534,                 2.2437,                 1.6782,                0.94023,              0.0013445,              0.0013445,              0.0013445
                     15,                0.54322,                0.68029,                  0.512,                0.88162,                0.79532,                0.73329,                0.71196,                0.51382,                0.79294,                0.72614,                0.70247,                0.48333,                 0.8245,                 2.6778,                0.98823,                0.94453,               0.001439,               0.001439,               0.001439
