                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.55715,                0.71432,                0.51839,                0.91212,                0.81602,                 0.6936,                0.72645,                0.52171,                0.81594,                0.68276,                0.72039,                0.49021,                0.94061,                 2.2552,                 1.1908,                 1.0596,              0.0019089,              0.0019089,              0.0019089
                     26,                0.59141,                0.72126,                0.55309,                0.92507,                0.83531,                0.71258,                0.74512,                0.55213,                0.84749,                0.68601,                 0.7349,                  0.493,                0.84189,                 2.0378,                0.87742,                 1.0164,               0.001905,               0.001905,               0.001905
                     27,                 0.5687,                0.67866,                0.49892,                0.90005,                0.85211,                0.70304,                0.74475,                0.56642,                0.86546,                0.68721,                0.73542,                 0.4904,                0.80407,                 2.1716,                0.86481,                 1.0168,               0.001901,               0.001901,               0.001901
                     28,                0.52831,                0.65571,                0.49976,                0.89623,                0.79342,                0.68818,                0.72066,                 0.5328,                0.82524,                0.66215,                0.72042,                0.49048,                0.87754,                 2.0939,                0.83248,                 1.0369,               0.001897,               0.001897,               0.001897
                     29,                0.56132,                0.65842,                0.48862,                0.89723,                0.83888,                0.71312,                0.74683,                0.56905,                0.83841,                0.69778,                0.73893,                0.49048,                0.81144,                 1.9105,                0.74715,                 1.0216,              0.0018931,              0.0018931,              0.0018931
                     30,                0.50962,                0.64609,                0.48905,                  0.888,                0.84957,                0.70662,                0.74915,                0.57164,                0.84531,                0.69344,                0.74435,                 0.4875,                 0.8154,                 2.1137,                 0.6953,                 1.0251,              0.0018891,              0.0018891,              0.0018891
                     31,                0.51282,                0.66685,                0.50289,                0.89497,                0.77368,                 0.6692,                0.71316,                0.54378,                0.77974,                0.65464,                0.70783,                0.47796,                0.78795,                 2.0874,                0.76481,                 1.0013,              0.0018852,              0.0018852,              0.0018852
                     32,                0.54186,                 0.6785,                0.53655,                0.91775,                0.85258,                0.73807,                0.77471,                0.57026,                0.85497,                0.74078,                0.78064,                0.55511,                0.84483,                 2.1701,                 0.8137,                 1.0192,              0.0018812,              0.0018812,              0.0018812
                     33,                0.52887,                0.67214,                0.45699,                 0.8803,                0.83876,                0.75922,                0.77282,                0.58731,                0.83204,                0.75223,                0.77131,                0.52727,                 0.7649,                 2.1739,                0.78327,                 1.0072,              0.0018772,              0.0018772,              0.0018772
                     34,                0.51858,                0.69178,                0.48291,                0.89407,                0.84723,                0.74287,                0.77354,                0.58394,                0.84281,                0.73373,                0.77335,                0.53671,                0.79845,                 2.4481,                0.70067,                0.99632,              0.0018733,              0.0018733,              0.0018733
                     35,                0.51209,                0.65829,                0.44774,                 0.8792,                0.86076,                0.71404,                0.76757,                0.57875,                  0.853,                 0.7112,                0.76571,                 0.5439,                0.79696,                 2.0123,                0.71793,                0.99148,              0.0018693,              0.0018693,              0.0018693
                     36,                0.50479,                0.63812,                0.46719,                0.88198,                0.68119,                0.65022,                0.69324,                0.52702,                0.70979,                0.62202,                0.68909,                0.48313,                0.84549,                 2.1168,                0.77425,                   1.01,              0.0018654,              0.0018654,              0.0018654
                     37,                0.49851,                0.61523,                0.43876,                 0.8786,                0.84606,                0.69146,                0.76053,                0.59388,                0.85042,                0.68445,                0.75192,                0.53332,                0.76363,                 1.8956,                0.65991,                0.98557,              0.0018614,              0.0018614,              0.0018614
                     38,                0.52115,                 0.6879,                0.44845,                 0.8955,                0.84872,                 0.7393,                0.77671,                 0.5968,                0.87384,                0.71368,                0.77346,                0.54345,                0.77604,                 1.7246,                0.59201,                0.98334,              0.0018574,              0.0018574,              0.0018574
                     39,                0.49025,                0.64739,                0.42636,                0.87605,                0.85968,                0.69306,                 0.7551,                 0.5813,                0.87927,                0.68818,                0.75757,                0.54739,                 0.8084,                 1.8286,                0.61582,                0.99915,              0.0018535,              0.0018535,              0.0018535
                     40,                0.49142,                0.62866,                0.47049,                0.89217,                0.85048,                0.69252,                0.75102,                0.58093,                0.86221,                0.67733,                0.74957,                0.52723,                0.77639,                 2.0359,                0.64089,                 1.0108,              0.0018495,              0.0018495,              0.0018495
                     41,                0.52019,                0.62903,                0.43704,                0.87909,                0.87368,                0.71312,                0.76086,                0.59113,                0.87999,                 0.6974,                0.76299,                0.54566,                 0.7792,                 1.8297,                0.61074,                0.99344,              0.0018456,              0.0018456,              0.0018456
                     42,                0.47095,                0.59013,                0.45819,                0.88618,                0.86918,                0.72505,                0.76378,                0.59454,                0.86039,                0.71909,                0.76621,                0.53922,                0.77529,                 1.8214,                0.64066,                0.98606,              0.0018416,              0.0018416,              0.0018416
                     43,                0.49273,                0.63394,                0.42787,                0.88632,                0.86742,                0.71671,                0.76007,                0.59865,                0.85208,                0.70499,                0.75466,                  0.511,                0.74571,                 1.9694,                0.62707,                0.97376,              0.0018376,              0.0018376,              0.0018376
                     44,                0.48389,                0.59752,                0.42374,                 0.8677,                0.88427,                0.68782,                0.74993,                 0.5921,                0.87662,                0.67814,                0.74411,                0.52583,                0.76723,                 1.8549,                0.58658,                0.98669,              0.0018337,              0.0018337,              0.0018337
                     45,                0.49162,                0.64598,                0.41911,                0.87699,                 0.8829,                0.68694,                0.75288,                0.58985,                0.88992,                0.67787,                0.75149,                0.52567,                0.75673,                 1.7203,                0.59827,                0.97989,              0.0018297,              0.0018297,              0.0018297
                     46,                0.46415,                0.58419,                0.39202,                0.85467,                0.87428,                0.71963,                0.76105,                0.59081,                0.87437,                0.71367,                0.75921,                0.52599,                 0.7778,                 1.8251,                0.61318,                0.99046,              0.0018258,              0.0018258,              0.0018258
                     47,                0.46524,                0.55387,                0.41025,                0.87086,                0.87535,                0.72126,                0.76496,                 0.5891,                0.86087,                0.70933,                0.76251,                0.53723,                0.79666,                 1.9307,                0.60965,                0.99722,              0.0018218,              0.0018218,              0.0018218
                     48,                0.48642,                0.56845,                0.43438,                 0.8769,                0.87866,                0.74241,                0.78743,                0.61418,                0.86081,                0.73447,                0.78109,                0.54071,                0.74034,                 1.8456,                0.54149,                0.98354,              0.0018178,              0.0018178,              0.0018178
                     49,                0.44212,                0.56664,                0.39245,                0.85983,                 0.8617,                0.75597,                  0.797,                0.62946,                0.84831,                0.74403,                0.79469,                0.57465,                0.71204,                 1.8952,                0.55158,                0.96353,              0.0018139,              0.0018139,              0.0018139
                     50,                0.44181,                 0.5544,                0.38435,                0.86198,                0.87095,                0.75031,                0.80219,                0.63424,                0.86479,                0.74225,                0.80162,                0.59182,                 0.7141,                 1.8413,                0.55094,                0.96021,              0.0018099,              0.0018099,              0.0018099
                     51,                0.47931,                0.58849,                0.39712,                0.86709,                0.89025,                0.73902,                0.79882,                0.62419,                0.88351,                0.72722,                0.79271,                0.56628,                0.75489,                 1.7456,                0.54313,                0.97999,               0.001806,               0.001806,               0.001806
                     52,                0.44778,                0.55406,                0.40304,                0.85565,                0.87534,                 0.7218,                0.77343,                0.60375,                0.86983,                0.71475,                 0.7681,                0.54962,                0.75652,                 2.1221,                 0.5379,                0.96849,               0.001802,               0.001802,               0.001802
                     53,                0.49173,                0.58475,                 0.4083,                 0.8555,                0.85885,                0.74349,                0.78898,                0.62481,                0.85712,                0.72126,                0.78119,                0.55145,                0.71021,                 2.0086,                 0.5366,                 0.9673,               0.001798,               0.001798,               0.001798
                     54,                0.47001,                0.60558,                0.41784,                 0.8866,                0.86935,                0.73482,                0.79664,                0.63366,                0.85427,                0.71529,                0.77984,                 0.5467,                 0.6987,                 1.9642,                0.51614,                0.96506,              0.0017941,              0.0017941,              0.0017941
