                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4143,                  5.083,                 6.5746,                  1.477,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5108,                 3.9709,                 7.1931,                  1.182,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.6753,                 4.0918,                 5.0643,                 1.2039,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  2.336,                 3.6328,                 5.9333,                 1.1294,              5.604e-05,              5.604e-05,              5.604e-05
                      3,                 2.3176,                 3.9517,                 3.9682,                 1.1504,                  0.008,                0.03593,                0.00436,                0.00289,                  0.008,                0.03593,                0.00439,                0.00161,                 2.1648,                  3.391,                 4.2446,                 1.0799,               8.68e-05,               8.68e-05,               8.68e-05
                      4,                 2.2705,                 3.4363,                 2.9034,                 1.0329,                0.32164,                 0.0988,                0.07361,                0.04084,                0.35933,                0.08982,                0.06732,                0.02488,                 2.0596,                 3.0056,                 3.0174,                 1.0202,             0.00011228,             0.00011228,             0.00011228
                      5,                 2.0558,                  2.868,                 2.2917,                0.97302,                0.43687,                0.19511,                0.16872,                0.07932,                0.33839,                 0.1976,                0.14383,                0.04898,                 1.9941,                 2.6497,                 2.7116,                0.97493,             0.00013248,             0.00013248,             0.00013248
                      6,                   2.13,                 2.7896,                 2.2896,                0.93308,                0.41477,                0.23952,                 0.2221,                0.09146,                0.32162,                0.23653,                 0.1657,                0.05044,                 2.0497,                 2.5472,                 2.8916,                0.95718,              0.0001474,              0.0001474,              0.0001474
                      7,                 2.0233,                 2.4954,                 2.0389,                0.92014,                0.46193,                 0.2485,                0.23533,                0.08906,                0.35837,                0.25749,                 0.1787,                0.05681,                 2.1048,                 2.6584,                 2.8391,                 0.9415,             0.00015704,             0.00015704,             0.00015704
                      8,                 1.7888,                 2.2826,                 1.7746,                 0.9207,                 0.4893,                0.26104,                0.25866,                0.10432,                0.37847,                0.23353,                0.18522,                0.05872,                 2.0838,                 2.6851,                 3.1378,                0.92175,              0.0001614,              0.0001614,              0.0001614
                      9,                 1.8071,                 2.3871,                 1.8223,                0.93935,                0.50965,                0.27246,                0.26431,                0.10899,                0.25249,                0.30838,                0.17162,                0.05382,                 2.0444,                 2.6821,                 2.9086,                0.90935,             0.00016048,             0.00016048,             0.00016048
                     10,                 2.0328,                 2.5311,                 1.8708,                0.90613,                0.40849,                0.29042,                0.25448,                0.10355,                0.28967,                0.27246,                0.17084,                0.05078,                 2.0122,                 2.7335,                 2.5541,                0.90743,             0.00015428,             0.00015428,             0.00015428
                     11,                 1.6941,                 2.1693,                 1.5359,                0.88827,                 0.4139,                0.27699,                0.26288,                 0.1039,                 0.3095,                0.28743,                0.18354,                0.05318,                 1.9954,                 2.7262,                 2.4091,                0.90423,              0.0001428,              0.0001428,              0.0001428
                     12,                 1.9548,                 2.5174,                    1.7,                0.91699,                 0.3902,                0.29042,                0.26998,                0.10689,                0.29285,                0.29341,                0.18958,                0.05474,                 1.9959,                 2.6805,                 2.3582,                0.90189,             0.00012604,             0.00012604,             0.00012604
                     13,                 1.7095,                 2.5477,                 1.5375,                0.86753,                0.41073,                0.29042,                0.28666,                0.11805,                0.28937,                0.30539,                0.20631,                0.05989,                 1.9733,                  2.643,                 2.3694,                0.89802,               0.000104,               0.000104,               0.000104
                     14,                 1.9214,                 2.7514,                 1.6898,                0.89587,                0.43183,                0.29641,                0.30078,                0.12422,                0.29289,                0.29042,                0.21001,                0.06175,                 1.9423,                 2.6303,                 2.4277,                0.89524,              7.668e-05,              7.668e-05,              7.668e-05
                     15,                 1.8054,                 2.6581,                 1.7277,                0.87524,                0.50473,                0.28443,                0.30684,                0.13036,                0.32187,                0.28443,                0.22093,                0.06649,                 1.9126,                 2.5851,                  2.417,                 0.8931,              4.408e-05,              4.408e-05,              4.408e-05
