                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9676,                 4.6986,                 4.2731,                 1.2925,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2652,                 4.0377,                 3.9291,                 1.1001,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.9042,                 4.4503,                 4.2233,                 1.1941,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2407,                 4.0873,                 3.9508,                 1.0992,             5.9604e-05,             5.9604e-05,             5.9604e-05
                      3,                 2.4598,                 4.0186,                 4.1148,                  1.112,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2298,                 4.0705,                 3.9593,                 1.1003,              9.868e-05,              9.868e-05,              9.868e-05
                      4,                 2.3495,                 3.7631,                 4.1454,                 1.2095,                0.32429,                0.13473,                0.10542,                0.05284,                0.26501,                0.15269,                0.11222,                0.04672,                 2.1017,                 3.2583,                 2.4787,                0.97299,             0.00013723,             0.00013723,             0.00013723
                      5,                 2.2915,                 3.7582,                 4.5776,                  1.013,                0.15111,                0.11677,                0.05394,                0.02271,                0.11928,                0.14072,                0.05777,                0.02071,                 2.0922,                 3.2121,                 3.0366,                 0.9547,             0.00017525,             0.00017525,             0.00017525
                      6,                 1.9379,                 2.6474,                 3.5773,                0.99199,                0.36376,                0.25449,                0.22228,                0.08439,                 0.2264,                0.17365,                0.12539,                0.02779,                 2.0076,                 2.9013,                 3.6981,                0.91202,             0.00021274,             0.00021274,             0.00021274
                      7,                 1.9222,                 2.8074,                 2.0333,                0.94789,                0.14112,                 0.2804,                0.08525,                0.03726,                0.16619,                0.35928,                 0.1224,                 0.0521,                 1.9247,                  3.272,                 34.606,                0.91533,              0.0002497,              0.0002497,              0.0002497
                      8,                 1.7392,                 2.5222,                 1.7313,                0.89967,                0.13134,                0.45509,                0.09378,                0.04246,                0.11828,                0.41018,                 0.0827,                0.03307,                 1.8098,                 3.8168,                 130.96,                0.88654,             0.00028614,             0.00028614,             0.00028614
                      9,                 1.8254,                 2.5245,                 1.9203,                0.89442,                0.21279,                0.47305,                0.21829,                0.08854,                0.16541,                0.36826,                0.12765,                0.03807,                 1.8556,                 3.9876,                 22.519,                0.88152,             0.00032205,             0.00032205,             0.00032205
                     10,                 1.9879,                 2.7062,                 1.8253,                0.90012,                0.14803,                0.48746,                0.10878,                0.04359,                0.10344,                0.31437,                 0.0665,                0.02098,                 2.0079,                 3.6252,                  51.03,                0.89207,             0.00035743,             0.00035743,             0.00035743
                     11,                 1.8735,                 2.4549,                 1.4688,                0.88516,                0.15072,                0.44311,                0.10886,                0.05044,                0.13329,                0.39222,                0.09566,                0.03465,                 1.8141,                 3.5678,                 95.978,                0.87845,             0.00039228,             0.00039228,             0.00039228
                     12,                 1.7545,                 2.4196,                 1.3826,                0.87879,                0.14154,                0.44311,                0.10414,                0.04707,                0.15822,                0.51796,                0.12885,                0.04878,                  1.863,                 3.4103,                    inf,                0.88249,              0.0004266,              0.0004266,              0.0004266
                     13,                 1.8048,                    2.5,                 1.5792,                0.88383,                0.11927,                0.41916,                0.08619,                0.04043,                0.14175,                0.49401,                0.10883,                0.04491,                 1.8012,                 3.5725,                    inf,                0.87302,              0.0004604,              0.0004604,              0.0004604
                     14,                 1.8079,                 2.2303,                 1.3853,                 0.9063,                0.16274,                0.48802,                0.12357,                0.05857,                0.14749,                0.51198,                0.11724,                0.04193,                 1.7491,                  3.384,                 92.301,                0.87319,             0.00049367,             0.00049367,             0.00049367
                     15,                 1.5814,                 2.0135,                 1.2355,                0.87801,                0.08785,                0.32934,                0.06543,                0.03265,                0.08073,                0.31026,                0.05713,                0.02103,                    nan,                    nan,                    nan,                    nan,             0.00052641,             0.00052641,             0.00052641
                     16,                 1.9293,                 2.5324,                 1.2905,                0.87693,                0.06588,                0.28144,                0.04191,                0.01741,                 0.0549,                0.23952,                0.03393,                0.01242,                    nan,                    nan,                    nan,                    nan,             0.00055862,             0.00055862,             0.00055862
                     17,                 1.6761,                 2.0373,                 1.2002,                0.87792,                0.03407,                0.15269,                0.01965,                0.00816,                0.02739,                0.12275,                0.01538,                0.00421,                    nan,                    nan,                    nan,                    nan,              0.0005903,              0.0005903,              0.0005903
                     18,                 1.7975,                 2.5377,                 1.4233,                0.86619,                  0.038,                0.17066,                0.02224,                0.00929,                0.03267,                0.14671,                0.01874,                 0.0069,                    nan,                    nan,                    nan,                    nan,             0.00062146,             0.00062146,             0.00062146
