                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2009,                 4.9269,                 4.8412,                 1.3696,                0.00467,                0.02096,                0.00253,                0.00148,                  0.004,                0.01796,                0.00218,                0.00133,                 2.2844,                 4.2359,                  3.976,                  1.162,                  2e-05,                  2e-05,                  2e-05
                      2,                  2.984,                 4.6953,                 4.8573,                 1.2798,                0.00467,                0.02096,                0.00249,                0.00148,                  0.004,                0.01796,                0.00215,                0.00126,                 2.2908,                 4.2898,                 3.9866,                 1.1623,             5.9881e-05,             5.9881e-05,             5.9881e-05
                      3,                 2.7827,                 4.3931,                 4.2166,                 1.2433,                0.00333,                0.01497,                0.00182,                0.00125,                  0.004,                0.01796,                0.00216,                0.00127,                 2.2766,                 4.2893,                  3.993,                 1.1599,             9.9604e-05,             9.9604e-05,             9.9604e-05
                      4,                 2.4562,                 3.9396,                  4.046,                 1.2357,                0.24029,                0.08084,                0.07771,                0.04281,                0.22671,                0.07784,                0.07604,                0.03195,                 1.9195,                 3.5711,                  2.318,                 1.0409,             0.00013917,             0.00013917,             0.00013917
                      5,                 2.3722,                 4.1638,                 2.8568,                 1.0843,                0.38312,                0.15569,                0.13336,                0.06476,                0.30914,                0.17365,                0.13661,                0.04626,                 1.8811,                 2.9273,                 2.7088,                0.96438,             0.00017857,             0.00017857,             0.00017857
                      6,                 1.9822,                 2.5961,                 2.1859,                 1.0003,                0.41497,                0.28144,                0.25736,                0.11083,                0.41601,                0.28366,                0.24323,                0.07576,                 1.9153,                 2.8898,                 1.5753,                0.90959,             0.00021782,             0.00021782,             0.00021782
                      7,                 1.9249,                 3.0215,                 1.9669,                0.95195,                0.49423,                0.29341,                0.29768,                0.12492,                0.45422,                0.32635,                0.31777,                0.11812,                 1.9803,                 3.0634,                  2.371,                0.92013,             0.00025691,             0.00025691,             0.00025691
                      8,                 1.8108,                 2.4953,                 1.7054,                0.91903,                0.56552,                0.33832,                0.33998,                0.12343,                0.34033,                0.36527,                0.24513,                0.06986,                  1.949,                 3.1271,                 2.7083,                0.89815,             0.00029584,             0.00029584,             0.00029584
                      9,                 1.9661,                 2.7492,                 1.7115,                0.91551,                0.40668,                0.34888,                0.27874,                0.10925,                0.22708,                 0.2485,                0.13595,                0.04242,                 2.0161,                 3.9107,                 11.214,                0.88748,             0.00033461,             0.00033461,             0.00033461
                     10,                  2.078,                 3.1027,                 1.6199,                0.91317,                0.33089,                0.35831,                0.22936,                0.08486,                0.19041,                0.26647,                0.12479,                0.03515,                 2.0482,                 3.7408,                 26.465,                0.89873,             0.00037323,             0.00037323,             0.00037323
