                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61607,                 1.3109,                 3.2562,                0.98211,                0.04197,                0.15022,                 0.0451,                0.03046,                0.04818,                0.17245,                0.05122,                0.03264,                0.61637,                  1.671,                 3.8463,                0.95628,                  8e-05,                  8e-05,                  8e-05
                      2,                0.66846,                 1.3526,                 2.8622,                 1.0321,                0.45197,                0.58991,                0.45102,                0.32338,                0.45072,                0.58829,                0.45141,                0.29311,                0.75169,                 1.8307,                    inf,                0.95725,             0.00017964,             0.00017964,             0.00017964
                      3,                0.65904,                 1.0692,                 1.1271,                0.95664,                0.35571,                0.70987,                0.28648,                0.21378,                0.35516,                0.70879,                0.28506,                0.19591,                0.80532,                 2.3352,                    inf,                0.97952,             0.00027889,             0.00027889,             0.00027889
                      4,                0.54973,                0.81203,                0.82418,                0.91963,                0.55399,                 0.7039,                0.44295,                0.34467,                0.55741,                0.70824,                0.44208,                0.30227,                0.67945,                  1.996,                    inf,                0.95844,             0.00037774,             0.00037774,             0.00037774
                      5,                0.52247,                 0.7583,                0.61018,                0.91522,                0.73547,                0.74024,                0.68133,                0.52483,                 0.7787,                0.70499,                0.67934,                0.44174,                0.69888,                 2.1835,                    inf,                0.98289,              0.0004762,              0.0004762,              0.0004762
                      6,                0.50838,                0.77625,                 0.5515,                0.90886,                0.61923,                0.61822,                0.47195,                0.35244,                0.62792,                 0.6269,                0.47825,                0.32206,                0.77385,                 2.3872,                    inf,                0.99034,             0.00057426,             0.00057426,             0.00057426
                      7,                0.51565,                0.78554,                0.59146,                0.92038,                0.18106,                0.52549,                0.14034,                 0.1086,                0.17454,                0.50651,                0.13375,                0.08902,                0.89888,                 140.11,                    inf,                 3.9686,             0.00067192,             0.00067192,             0.00067192
                      8,                0.55612,                0.93986,                0.58543,                0.92438,                0.13954,                0.45445,                0.10544,                 0.0812,                0.13155,                0.42842,                 0.0974,                0.06274,                 1.0323,                 68.716,                    inf,                 3.6615,             0.00076919,             0.00076919,             0.00076919
                      9,                0.53002,                 0.7904,                0.57478,                 0.9097,                0.00258,                0.00922,                 0.0013,                0.00025,                0.00015,                0.00054,                  8e-05,                  1e-05,                    nan,                    nan,                    nan,                    nan,             0.00086606,             0.00086606,             0.00086606
                     10,                0.55756,                0.76052,                0.54799,                 0.9389,                0.02091,                0.03742,                0.01244,                0.00466,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00096254,             0.00096254,             0.00096254
