                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.5961,                 2.1799,                 1.3115,                0.86745,                0.62736,                0.38814,                0.43044,                0.17543,                0.41736,                0.38024,                0.32058,                0.09769,                 1.9868,                 2.9855,                 2.0052,                  0.896,             0.00079731,             0.00079731,             0.00079731
                     25,                 1.7265,                  2.174,                 1.3773,                0.89226,                0.49746,                0.36228,                0.35952,                0.13545,                0.39679,                0.28743,                0.24782,                0.06577,                 2.1294,                 3.0715,                  2.272,                0.90641,             0.00082477,             0.00082477,             0.00082477
                     26,                 1.7842,                 2.1351,                  1.251,                0.86026,                0.20922,                0.23952,                0.20035,                0.06904,                0.10705,                0.33832,                0.10873,                0.03338,                 2.3234,                  3.405,                 6.3353,                0.91856,              0.0008517,              0.0008517,              0.0008517
                     27,                 1.8438,                 2.0743,                 1.1747,                0.86717,                0.09422,                0.32635,                0.05916,                0.02278,                0.08473,                0.30838,                 0.0546,                0.01882,                 2.3028,                 4.3028,                 84.163,                0.92957,              0.0008781,              0.0008781,              0.0008781
                     28,                  1.682,                 2.0465,                  1.156,                0.84993,                0.09422,                0.32635,                0.05916,                0.02278,                0.08473,                0.30838,                 0.0546,                0.01882,                 2.3028,                 4.3028,                 84.163,                0.92957,             0.00090398,             0.00090398,             0.00090398
                     29,                 1.7243,                 2.0045,                 1.1775,                0.84223,                0.06705,                0.24551,                0.03792,                0.01609,                0.07073,                0.25749,                0.04384,                0.01793,                 2.1649,                 5.9066,                    inf,                0.93116,             0.00092933,             0.00092933,             0.00092933
                     30,                 2.0576,                 3.1405,                 1.4583,                0.86822,                0.07631,                0.27844,                0.04514,                0.01863,                0.07724,                0.28743,                0.04808,                0.01859,                 2.2122,                 4.7761,                    inf,                 0.9445,             0.00095415,             0.00095415,             0.00095415
                     31,                 1.6662,                  1.876,                 1.1532,                0.85515,                0.07631,                0.27844,                0.04514,                0.01863,                0.07724,                0.28743,                0.04808,                0.01859,                 2.2122,                 4.7761,                    inf,                 0.9445,             0.00097844,             0.00097844,             0.00097844
                     32,                 1.6267,                 1.9512,                 1.2407,                0.89623,                0.12856,                0.41018,                0.08846,                0.03554,                 0.1153,                0.37425,                0.07964,                0.02718,                 2.2299,                 4.7393,                 26.303,                0.93512,              0.0010022,              0.0010022,              0.0010022
                     33,                 1.6626,                 1.9737,                 1.0983,                0.83725,                 0.5226,                0.38024,                0.38993,                0.16012,                0.34542,                0.37126,                0.29386,                0.08405,                 2.0636,                  4.194,                 2.1217,                0.90513,              0.0010254,              0.0010254,              0.0010254
                     34,                 1.5742,                 1.8299,                 1.0637,                0.86255,                 0.5226,                0.38024,                0.38993,                0.16012,                0.34542,                0.37126,                0.29386,                0.08405,                 2.0636,                  4.194,                 2.1217,                0.90513,              0.0010481,              0.0010481,              0.0010481
                     35,                 1.9425,                 2.5423,                 1.3534,                0.86102,                0.48627,                0.35992,                0.37627,                0.14745,                0.31268,                0.33533,                0.24269,                0.07689,                 2.1409,                 4.8934,                 2.0753,                0.91566,              0.0010703,              0.0010703,              0.0010703
                     36,                  1.906,                 2.2241,                  1.123,                0.88503,                0.46654,                0.36396,                0.36799,                0.13726,                0.29154,                0.33533,                0.22695,                0.06498,                 2.1896,                 4.6841,                 1.7891,                0.92103,               0.001092,               0.001092,               0.001092
                     37,                 1.7085,                 1.9644,                 1.1109,                0.86124,                0.46654,                0.36396,                0.36799,                0.13726,                0.29154,                0.33533,                0.22695,                0.06498,                 2.1896,                 4.6841,                 1.7891,                0.92103,              0.0011131,              0.0011131,              0.0011131
                     38,                 1.8457,                 2.0627,                 1.1596,                0.87218,                 0.5394,                0.37868,                0.36769,                0.14293,                0.44058,                 0.3503,                0.32404,                 0.0968,                 2.2243,                 3.7288,                   1.73,                0.94816,              0.0011337,              0.0011337,              0.0011337
                     39,                 1.7794,                 2.4706,                 1.2137,                0.85001,                0.52578,                0.36527,                0.38065,                0.15185,                0.40257,                0.41963,                0.33436,                0.11463,                 2.1504,                 4.5237,                 1.8099,                0.94363,              0.0011538,              0.0011538,              0.0011538
                     40,                 1.6603,                 1.7871,                 1.0167,                0.87265,                0.52578,                0.36527,                0.38065,                0.15185,                0.40257,                0.41963,                0.33436,                0.11463,                 2.1504,                 4.5237,                 1.8099,                0.94363,              0.0011733,              0.0011733,              0.0011733
                     41,                 1.7455,                 1.7857,                  1.131,                0.88853,                  0.528,                 0.4012,                0.40097,                0.16124,                 0.4704,                0.38922,                0.36254,                0.11755,                 2.0699,                 4.6259,                 1.7419,                0.92641,              0.0011923,              0.0011923,              0.0011923
                     42,                 1.6802,                 2.0925,                 1.1537,                0.87463,                0.50479,                0.38149,                0.39357,                0.16622,                0.38201,                 0.4012,                0.32981,                0.10444,                 2.0314,                 3.9193,                 1.5577,                0.92115,              0.0012108,              0.0012108,              0.0012108
                     43,                 1.6244,                 1.7479,                 1.1599,                0.88754,                0.50479,                0.38149,                0.39357,                0.16622,                0.38201,                 0.4012,                0.32981,                0.10444,                 2.0314,                 3.9193,                 1.5577,                0.92115,              0.0012288,              0.0012288,              0.0012288
                     44,                 1.7141,                 2.1293,                  1.066,                 0.8509,                  0.458,                0.43413,                 0.4101,                0.17307,                 0.3604,                0.39521,                0.30689,                0.09941,                 2.0947,                 3.8155,                 1.5449,                0.93914,              0.0012462,              0.0012462,              0.0012462
                     45,                 1.9553,                 2.3865,                 1.2422,                0.86281,                  0.458,                0.43413,                 0.4101,                0.17307,                 0.3604,                0.39521,                0.30689,                0.09941,                 2.0947,                 3.8155,                 1.5449,                0.93914,              0.0012631,              0.0012631,              0.0012631
                     46,                 1.8317,                 2.3095,                 1.1167,                0.88731,                0.45931,                0.42515,                0.42141,                0.17914,                0.43344,                 0.4012,                0.35391,                0.11015,                 2.0358,                 3.6445,                 1.4812,                0.91775,              0.0012795,              0.0012795,              0.0012795
                     47,                   1.52,                 1.8625,                 1.0114,                0.83949,                0.45931,                0.42515,                0.42141,                0.17914,                0.43344,                 0.4012,                0.35391,                0.11015,                 2.0358,                 3.6445,                 1.4812,                0.91775,              0.0012953,              0.0012953,              0.0012953
                     48,                 1.7204,                 1.9759,                 1.3218,                0.85154,                0.35241,                0.35928,                0.28917,                0.12142,                0.40496,                0.38511,                0.32495,                0.10708,                 2.1045,                 3.5089,                 1.7883,                0.91123,              0.0013106,              0.0013106,              0.0013106
                     49,                  1.725,                 2.1137,                 1.0363,                0.86205,                0.35241,                0.35928,                0.28917,                0.12142,                0.40496,                0.38511,                0.32495,                0.10708,                 2.1045,                 3.5089,                 1.7883,                0.91123,              0.0013254,              0.0013254,              0.0013254
                     50,                  1.941,                 2.3773,                 1.1739,                0.86086,                0.31404,                0.32934,                0.23772,                 0.0951,                0.29153,                0.35928,                 0.2357,                0.06578,                 2.1573,                 3.8274,                 2.0976,                0.92417,              0.0013397,              0.0013397,              0.0013397
                     51,                  1.714,                 2.0029,                 1.0896,                0.85295,                0.31404,                0.32934,                0.23772,                 0.0951,                0.29153,                0.35928,                 0.2357,                0.06578,                 2.1573,                 3.8274,                 2.0976,                0.92417,                0.00134,                0.00134,                0.00134
                     52,                 1.6858,                 2.1509,                 1.1533,                0.86378,                0.38268,                0.36826,                0.29323,                0.12201,                0.32208,                0.33533,                0.23079,                0.06642,                 2.2065,                 4.1596,                 1.8655,                 0.9165,                0.00134,                0.00134,                0.00134
                     53,                 1.8549,                 2.2849,                 1.1517,                0.87126,                0.38268,                0.36826,                0.29323,                0.12201,                0.32208,                0.33533,                0.23079,                0.06642,                 2.2065,                 4.1596,                 1.8655,                 0.9165,              0.0013268,              0.0013268,              0.0013268
                     54,                 1.8532,                 1.9914,                 1.0967,                0.85084,                 0.4144,                0.43858,                0.37569,                0.14943,                0.35713,                 0.3982,                0.31037,                0.08891,                 2.1337,                 4.0574,                  1.724,                0.90562,              0.0013136,              0.0013136,              0.0013136
                     55,                 1.7977,                 2.0602,                 1.0595,                0.83759,                 0.4144,                0.43858,                0.37569,                0.14943,                0.35713,                 0.3982,                0.31037,                0.08891,                 2.1337,                 4.0574,                  1.724,                0.90562,              0.0013004,              0.0013004,              0.0013004
                     56,                  1.663,                 2.0212,                 1.0398,                 0.8425,                0.48541,                0.41617,                0.40054,                 0.1717,                0.45803,                0.42216,                0.38478,                 0.1152,                 2.0324,                 3.8203,                 1.8042,                0.90133,              0.0012872,              0.0012872,              0.0012872
                     57,                 1.5665,                  1.933,                 1.0702,                0.87988,                0.48541,                0.41617,                0.40054,                 0.1717,                0.45803,                0.42216,                0.38478,                 0.1152,                 2.0324,                 3.8203,                 1.8042,                0.90133,               0.001274,               0.001274,               0.001274
                     58,                 1.5501,                 1.6855,                 1.0114,                0.85677,                0.50393,                0.48802,                0.44886,                0.18473,                0.38939,                0.38623,                0.33813,                0.10325,                 2.0092,                 3.9807,                 1.7484,                0.89837,              0.0012608,              0.0012608,              0.0012608
                     59,                 1.6735,                 1.8297,                 1.0423,                0.83618,                0.50393,                0.48802,                0.44886,                0.18473,                0.38939,                0.38623,                0.33813,                0.10325,                 2.0092,                 3.9807,                 1.7484,                0.89837,              0.0012476,              0.0012476,              0.0012476
