                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1621,                 4.9653,                 4.0908,                 1.3131,                0.00067,                0.00299,                0.00034,                0.00013,                0.00067,                0.00299,                0.00034,                 0.0002,                 2.3756,                 4.1839,                 4.1613,                 1.1497,                  2e-05,                  2e-05,                  2e-05
                      2,                 3.0539,                 4.6244,                 4.0937,                 1.2578,                0.00067,                0.00299,                0.00034,                0.00013,                0.00067,                0.00299,                0.00034,                 0.0002,                  2.364,                 4.2358,                 4.1826,                 1.1517,             5.9881e-05,             5.9881e-05,             5.9881e-05
                      3,                 2.5253,                 4.5973,                 3.9937,                  1.172,                0.00067,                0.00299,                0.00034,                0.00013,                0.00067,                0.00299,                0.00034,                0.00024,                 2.3769,                 4.2428,                  4.186,                 1.1578,             9.9604e-05,             9.9604e-05,             9.9604e-05
                      4,                 2.3587,                 3.8556,                 3.9145,                 1.2091,                0.45652,                0.13473,                0.14186,                0.07016,                0.37177,                0.14072,                 0.1323,                0.05336,                 1.9373,                 3.2864,                 2.1557,                0.98265,             0.00013917,             0.00013917,             0.00013917
                      5,                 2.3567,                 3.8807,                 2.9147,                 1.0575,                 0.1934,                0.18563,                0.10701,                0.04153,                0.22297,                0.20359,                0.13182,                0.03847,                 1.9212,                 2.7569,                 3.2548,                0.93943,             0.00017857,             0.00017857,             0.00017857
                      6,                 1.8709,                 2.6415,                 3.6443,                0.97933,                0.50144,                0.35629,                0.32924,                0.13198,                0.44644,                0.32934,                0.27769,                0.07779,                 1.9759,                 2.7293,                 2.2076,                0.91331,             0.00021782,             0.00021782,             0.00021782
                      7,                 2.0086,                 2.7926,                 1.8959,                0.95086,                0.22484,                0.27246,                0.12231,                0.04633,                0.26116,                0.40419,                0.19088,                0.07536,                 2.2247,                 3.1689,                 63.846,                0.96088,             0.00025691,             0.00025691,             0.00025691
                      8,                 1.8152,                 2.4402,                 1.5566,                0.90836,                0.13712,                0.40719,                0.09248,                 0.0381,                0.12581,                 0.3503,                0.08502,                0.03343,                  1.898,                 3.5085,                 29.422,                0.90379,             0.00029584,             0.00029584,             0.00029584
                      9,                 1.8377,                 2.5299,                  1.535,                0.89031,                0.13805,                0.43713,                0.09424,                 0.0381,                0.11622,                0.37126,                0.07637,                 0.0218,                  1.936,                 3.0078,                 101.37,                0.91221,             0.00033461,             0.00033461,             0.00033461
                     10,                 1.8767,                 2.6038,                 1.3715,                0.89214,                0.09694,                 0.3503,                0.06196,                0.02634,                 0.1031,                0.37425,                0.06782,                0.02328,                  1.912,                 3.4274,                    nan,                0.91046,             0.00037323,             0.00037323,             0.00037323
